Textos_espanol,sdg
"Es importante destacar que, en un año de sequía, se espera que disminuyan todos los aportes, pero que aumente la demanda de agua de los cultivos y de la vegetación, lo que provocará una reducción del caudal de los ríos que están conectados hidrológicamente con el acuífero, así como una menor disponibilidad de agua para otros ecosistemas dependientes de las aguas subterráneas. Estas externalidades espaciales pueden incluir el agotamiento de los cursos de agua y el descenso del nivel freático local. Por ejemplo, el bombeo continuo del pozo B provocará el agotamiento de los cursos de agua y la reducción de su caudal.",6
"Hay una gran cantidad de literatura sobre Australia en esta área que sugiere fuertemente que el comercio de agua, especialmente en los mercados a corto plazo, no solo permite mitigar sustancialmente los impactos de las sequías en la agricultura, sino que ahora los agricultores lo consideran como un medio útil y básico. instrumento en su caja de herramientas de gestión de riesgos. Los desafíos políticos para Australia en el área de la regulación del agua en la agricultura están más en las áreas de cómo ajustar el sistema existente y los problemas de solidez relacionados con el cambio climático. Si bien el ejemplo australiano ilustra las posibles ganancias de eficiencia que surgen del comercio de agua, especialmente para gestionar la escasez de agua en circunstancias de sequía, la elección de un instrumento siempre debe considerar la gama completa de costos y beneficios.",6
"Los procesos de descentralización, emprendidos para una serie de actividades que antes realizaba el gobierno central, llevaron a modificaciones importantes en la forma en que se administraba y operaba el sector del agua. Las únicas excepciones a esta tendencia fueron Azerbaiyán, Bielorrusia y Turkmenistán, donde la gestión del sector del agua ha permanecido fuertemente centralizada. En Azerbaiyán, por ejemplo, la empresa nacional AZERSU JSC suministra agua al 65 % de la población, con un 10 % proporcionado por pequeños operadores privados y un 25 % por los propios hogares.",6
"Esto puede tener consecuencias sustanciales para la calidad del agua, especialmente en el río Mississippi y el norte del Golfo de México (De la Torre Ugarte et al., Si se requieren aportes de nutrientes para las plantaciones de madera, la infiltración y la escorrentía de nitrógeno también pueden representar un riesgo para las aguas subterráneas). (Lattimore et al., otra conclusión importante es que la ubicación de la producción y el tipo de producción de labranza, el sistema de rotación de cultivos y otras prácticas de gestión agrícola utilizadas en la producción de materias primas para la producción de bioenergía también influirán en gran medida en la calidad del agua (De la Torre Ugarte et al. ,",6
"La función de beneficio también incorpora parámetros que afectan a todos los usuarios, como los precios de insumos y productos y el clima.7 Por ejemplo, en un año seco, se espera que el beneficio de aplicar cualquier cantidad de agua a un cultivo sea mayor que en un año seco. año húmedo. La optimización óptima requeriría una valoración explícita de todos los posibles servicios ambientales asociados con el recurso de agua subterránea, tanto ahora como en el futuro. En cambio, la sociedad decide el nivel de servicios hidrológicos que es deseable y el problema económico es lograr ese nivel utilizando una solución que maximice los beneficios para los usuarios del agua.",6
"La descentralizaciÃ³n tambiÃ©n implica dar mayor protagonismo a los ComitÃ©s TÃ©cnicos de Aguas SubterrÃ¡neas (COTAS) en la gestiÃ³n de los acuÃferos, fortalecer la organizaciÃ³n y funcionamiento de los Consejos de Cuenca y sus Ã³rganos auxiliares, y consolidar las funciones de gobernanza y organizaciÃ³n regional de la CONAGUA. No existe un modelo Ãºnico para mejorar la gobernanza pÃºblica en el sector hÃdrico y superar los obstÃ¡culos institucionales para su implementaciÃ³n, pero es fundamental diagnosticar los principales retos de gobernanza que se experimentan entre los ministerios y organismos pÃºblicos, entre los niveles de gobierno y entre los actores subnacionales, y revisar los instrumentos de gobernanza existentes. Esto ayudará a definir claramente las funciones y responsabilidades de las autoridades públicas y a establecer mecanismos de resolución de conflictos.",6
"En este capítulo se presentan los principales resultados de la encuesta. También se solicitó a los encuestados que señalaran cualquier reforma reciente o en curso de los regímenes de asignación. En países donde hay varios enfoques diferentes para la asignación de agua (por ejemplo, diferentes regímenes de asignación para aguas superficiales o subterráneas, o variaciones en la asignación de una provincia/estado/cuenca fluvial a otra) se pueden proporcionar varios ejemplos de cada país.",6
"A menudo se necesita riego para cubrir el 100% de los requisitos de agua de los cultivos en estos estados áridos del sudoeste. Suponiendo una entrega de riego promedio de 10.000 m3 de agua por hectárea, estos costos serían equivalentes a USD 19 por 1.000 m3 en California y USD 23 por 1.000 m3 en Arizona. El costo promedio nacional de bombeo de agua subterránea, según se informó en el FRIS de 2003, fue de casi USD 100 por hectárea (Gollehon y Quinby, 2006).",6
"Como muchas de estas plantaciones están ubicadas en la zona costera debido a las condiciones climáticas, los pesticidas llegan al Mar Negro de inmediato. No existe un seguimiento de estas sustancias y los datos disponibles son muy limitados. Las sustancias peligrosas contenidas en los lixiviados afectan significativamente los recursos de agua subterránea. La situación actual es contraria a una política medioambiental sostenible basada en el principio de precaución, especialmente en lo que respecta a la contaminación de las aguas subterráneas a largo plazo.",6
"En ambas entidades, una de las principales lagunas de la información disponible es que no existe un seguimiento del uso del agua en la agricultura, lo que significa que tampoco se dispone de datos fiables en relación con las zonas de regadío. Un documento importante para el futuro desarrollo de los sistemas de regadío en la RS es la estrategia de regadío, finalizada en 2006 y que prevé la reconstrucción entre 2011 y 12 de dos grandes sistemas de regadío para una superficie de 79.000 ha, en el marco de un proyecto del Banco Mundial. Dentro de este proyecto, se ha recomendado el equilibrio hídrico en todas las fuentes potenciales para el riego y se han propuesto soluciones técnicas adecuadas para garantizar el uso sostenible de los recursos hídricos. En la subcuenca del río Una, por ejemplo, sólo hay 3 de las 19 centrales hidroeléctricas posibles, lo que convierte al Una en el curso de agua más infrautilizado, con un potencial de aprovechamiento para la generación de energía utilizado sólo al 1,7% de su capacidad posible.",6
"Promueve la conciencia energética en las escuelas utilizando programas educativos en ciencias humanas, sociales y físicas. Los municipios tienen funciones de regulación y gestión con respecto a la provisión de servicios ambientales (por ejemplo, suministro de agua y saneamiento, recolección y eliminación de desechos, protección contra el ruido). Las comunidades municipales también pueden adoptar sus propios programas de protección ambiental, mientras que las comunidades urbanas más grandes están obligadas a hacerlo.",6
"Para la aplicación a las cuencas de la costa central y oeste, los beneficios de emergencia esperados de la recarga artificial están dominados por la reducción de los costos potenciales de hundimiento (Figura 2.4). La extensión del daño al sistema de distribución y el tiempo y costo requeridos para hacer las reparaciones necesarias podrían representarse probabilísticamente. Estas extensiones del análisis permitirían evaluar los beneficios de invertir en capacidad de pozo adicional para fines de suministro de emergencia y mejoras en la resiliencia del sistema de distribución de agua. El enfoque demostrado en la costa de Los Ángeles podría aplicarse para evaluar los beneficios de emergencia de estas estrategias de uso conjunto.",6
"El proceso preparatorio para la Segunda Evaluación permitió discutir las diferencias existentes en los sistemas de monitoreo y evaluación, los problemas derivados con respecto a la comparabilidad de los datos y las lecciones aprendidas de aquellos países ribereños que han armonizado o compatibilizado sus sistemas de monitoreo y evaluación. El Convenio adopta un enfoque holístico, basado en el entendimiento de que los recursos hídricos juegan un papel integral en los ecosistemas, así como en las sociedades y economías humanas. Su compromiso con la gestión integrada de los recursos hídricos (1WRM) reemplaza un enfoque anterior en las fuentes localizadas de contaminación y la gestión de componentes separados del ecosistema.",6
"Los lechos de los ríos y sus alrededores están bajo la autoridad de CONAGUA, mientras que las políticas de uso de suelo y urbanismo son responsabilidad de los municipios en el 60% del territorio nacional y muchas veces están diseñadas con muy poca vinculación con la información sobre riesgos ambientales. El establecimiento de FOPREDEN también demuestra el compromiso del gobierno federal con un enfoque integral de gestión de riesgos. La priorización de las inversiones en prevención y mitigación debe realizarse con base en el Atlas Nacional de Riesgos, y con una amplia consulta y coordinación de las políticas entre las principales agencias federales, incluidas CONAGUA, SEDESOL, SEGOB, CFE, SEMARNAT, los estados y los municipios. priorizar y canalizar la financiación de la prevención en consecuencia. En este sentido, el desarrollo de la Agenda del Agua 2030 indica un cambio importante en el enfoque de CONAGUA para la reducción del riesgo de inundaciones.",6
"Más allá de las medidas convencionales de construcción de diques, los planes de gestión deben prestar la debida atención a la mejora de la estructura ecomorfológica de los cauces de los ríos y la restauración de las áreas naturales de retención de agua. También en este caso, los costes corren a cargo de los municipios, que pueden, no obstante, recibir subvenciones del gobierno por valor del 50 % (u 80 % para obras intercomunales). En particular, deben prohibirse los nuevos desarrollos urbanos en zonas inundables a menos que el volumen de retención perdido pueda ser compensado y que no aumenten los riesgos aguas abajo y aguas arriba.",6
"Sin embargo, incluso con esta consulta, se espera que el proyecto de conducción de Disi aumente el suministro de agua a los residentes de Amman, con posibles consecuencias en el comportamiento y las prácticas de consumo de agua. Por lo tanto, es importante evaluar las opiniones y expectativas de los clientes sobre el proyecto Disi para anticipar, y reducir, cualquier cambio en los patrones de consumo de agua que pueda socavar los beneficios potenciales del proyecto. En el contrato de gestión de Amman, no hubo campañas de concientización pública antes de incorporar al socio privado, y hubo poca participación de la sociedad civil durante todo el contrato (Suleiman et al., El contratista privado argumentó que no tenía la obligación de divulgar información al público además de emitir facturas y proporcionar información sobre cambios en el programa de racionamiento de agua (Suleiman et al.,",6
"No se requiere un permiso en los casos de descarga de aguas residuales (Capítulo 2). La producción de alimentos impacta la calidad del agua con altas cargas de nutrientes y material orgánico, la industria minera con metales pesados ??y material en suspensión. Los convenios son suscritos por las plantas industriales y las autoridades locales, sin embargo, en vista de que no existen regulaciones para las descargas indirectas, que causan problemas en el tratamiento de aguas residuales públicas y empeoran la contaminación del agua, no se establecen requisitos allí.",6
